Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"It's for the queen, I bet. I hear she's [sleek as a mink?]",Politics
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"But we have a Kingdom to look after. I've hoped to meet you for some time, Lord Stark. No doubt Lady Catelyn has mentioned me.",Politics
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,We are the lords of small matters here.,Politics
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,I'm telling you the Crown is six million in debt.,Politics
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,"He never stops. Do you know Ser Hugh of the Vale? Not surprising. Until recently, he was only a squire... Jon Arryn's squire. He was knighted almost immediately after his master's untimely death.",Politics
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,He's not my master.,Politics
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Strictly speaking, such a thing would not be in accordance with the King's laws.",Politics
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,Council business. We all have so much to discuss with Ned Stark.,Politics
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,One shudders at the thought.,Politics
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,Important enough for the likes of you.,Politics
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,I've been Lord Stark's ward since I was eight years old.,Politics
2011-05-22,Season 1,Episode 6,A Golden Crown,petyr baelish,Fish. The sigil of House Tully. Isn't that your wife's House - Tully - my Lord Hand?,Politics
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,My Lord protector.,Politics
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,So when the King dies...,Politics
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,And he cannot take the throne without your help.,Politics
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,You are now Hand of the King and Protector of the Realm.,Politics
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,"my lord, might I go as well?",Politics
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,"No, my lord.",Politics
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,"And what would you do, my friend, if you found yourself sitting up there?",Politics
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,But you carry on whispering in one king's ear and then the next. l admire you.,Politics
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,Your Grace.,Politics
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,"Of course, Your Grace.",Politics
2012-04-01,Season 2,Episode 1,The North Remembers,theon greyjoy,"A word, Your Grace?",Politics
2012-04-01,Season 2,Episode 1,The North Remembers,theon greyjoy,It's not so bad once you get used to it.,Politics
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,A man. Your blood and your heir.,Politics
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,What's done is done. I've brought you a proposal from Robb Stark.,Politics
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,"With a single stroke, you'd make me one of the greatest lords in the realm.",Politics
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,The Queen mustn't know.,Politics
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,Your Grace.,Politics
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"No, my lady.",Politics
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,The Lannisters will trade your daughters for the Kingslayer.,Politics
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,"He was, Your Grace.",Politics
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,Do you want to be a queen?,Politics
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,theon greyjoy,I do. Your captain.,Politics
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,theon greyjoy,Thank you. Kind of you to come see me off.,Politics
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,Lord Tywin.,Politics
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,The Tyrells have not yet declared for any of the surviving kings. Loras wants revenge. He blames Stannis for Renly's death. And Margaery-,Politics
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,"If you will allow me to represent your family's interests, I believe that an advantageous agreement TYWIN",Politics
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,My father has donned the ancient crown of Salt and Rock and declared himself King of the Iron Islands. He claims the North as well by right of conquest. You are all his subjects.,Politics
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,I am the Lord of Winterfell as Bran just informed you. Send the ravens.,Politics
